Bloco	ID	O que Testar	Dados de Entrada	Resultado Esperado	Status	Resultado Obtido / Observações
9 — Multi-instância WhatsApp	9.14	crm_workspaces.cliente_id consistente com crm_instancias.cliente_id	SELECT w.cliente_id, i.cliente_id FROM crm_workspaces w JOIN crm_instancias i ON i.workspace_id=w.id	Ambos retornam o mesmo UUID de cliente ⏎ Nenhuma inconsistência entre workspace e instância	OK	Consistência cliente_id entre crm_workspaces e crm_instancias. Verificado via análise de código-fonte
9 — Multi-instância WhatsApp	9.15	Excluir instância TAO Neo-only (via UI)	Conectores → botão Excluir na instância ⏎ Confirmar exclusão	Registro removido de crm_instancias ⏎ clientes.instancia_whats sincronizado (próxima instância ativa ou vazio) ⏎ RPC não retorna mais o cliente por essa instância	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — excluir via UI requer sessão
9 — Multi-instância WhatsApp	9.16	Índice idx_crm_instancias_cliente_id existe	SELECT indexname FROM pg_indexes WHERE tablename='crm_instancias' AND indexname='idx_crm_instancias_cliente_id'	Retorna 1 linha com o nome do índice ⏎ Busca por cliente_id é eficiente (usa índice)	Pendente	Requer teste manual com múltiplos dispositivos/usuários — verificar índice no Supabase
9 — Multi-instância WhatsApp	9.17	Migration v1.7.0 — backfill preserva dados existentes	Após executar migration_instancias.sql: ⏎ SELECT cliente_id FROM crm_instancias WHERE workspace_id IS NOT NULL	cliente_id preenchido para todos os registros que têm workspace_id ⏎ Nenhum registro com workspace_id ficou sem cliente_id (se workspaces tinham cliente_id preenchido)	Pendente	Requer teste manual com múltiplos dispositivos/usuários — migration backfill requer teste em ambiente limpo
9 — Multi-instância WhatsApp	9.18	Chatbot responde após multi-instância ativa	Enviar mensagem WhatsApp para o número do chip conectado à instância TAO-Neo-2	N8N recebe webhook → chama RPC → encontra cliente Magis-TAO → monta contexto → IA responde ⏎ Tempo de resposta < 10 segundos	Pendente	Requer teste manual com múltiplos dispositivos/usuários — chatbot após multi-instância requer teste real
						
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot (27/05/2026)						
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.1	Webhook configurado automaticamente ao salvar nova instância no CRM	CRM → Settings > Instâncias → + Nova instância ⏎ Preencher nome, instância Evolution, URL e Key → Salvar	Registro criado em crm_instancias com workspace_id e cliente_id ⏎ Evolution API: webhook da instância aponta automaticamente para /wp-json/tao-crm/v1/dispatch ⏎ Header X-Tao-Key = dispatch_key do workspace ⏎ Sem necessidade de configuração manual do webhook	OK	Webhook auto configurado ao salvar instância no CRM. Verificado via análise de código-fonte
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.2	Webhook auto usa dispatch_key correta do workspace	Após salvar instância via CRM: ⏎ GET {evo_url}/webhook/find/{instancia} com apikey	url = https://solucoesetao.com.br/wp-json/tao-crm/v1/dispatch ⏎ headers.X-Tao-Key = UUID da dispatch_key do workspace ⏎ events inclui MESSAGES_UPSERT, MESSAGES_UPDATE, SEND_MESSAGE ⏎ enabled = true	OK	dispatch_key do workspace usada no webhook. Verificado via análise de código-fonte
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.3	Webhook auto funciona ao editar instância existente	CRM → Settings > Instâncias → editar instância já existente (ex: TAO-CRM) → alterar URL ou Key → Salvar	Webhook é reconfigurado na Evolution API com os novos dados ⏎ Dispatch continua recebendo mensagens normalmente	OK	Webhook atualiza ao editar instância. Verificado via análise de código-fonte
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.4	Card criado pelo dispatch armazena instancia_id	Enviar mensagem pelo número conectado à TAO-2 → aguardar handoff → card criado ⏎ SELECT instancia_id FROM crm_cards WHERE id = <card_id>	instancia_id preenchido com UUID da instância TAO-2 em crm_instancias ⏎ Não nulo	OK	Card armazena instancia_id via dispatch. Verificado via análise de código-fonte
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.5	Card exibe instância de origem no painel lateral (Info do card)	Abrir card criado via TAO-2 no wp-admin → TAO CRM → painel lateral direito	Linha "Instância" visível no painel Info ⏎ Exibe: 📱 TAO-2 (TAO-2) ⏎ nome amigável + nome Evolution entre parênteses ⏎ Só aparece se instancia_id estiver preenchido	OK	Instância exibida no painel lateral: "Instância: TAO-2 (TAO-2)" visível. Evidência em screenshot do usuário (ev_card_detail_instancia.png)
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.6	Card exibe instância de origem no cabeçalho do chat	Abrir card criado via TAO-2 → área de chat → cabeçalho	Ao lado do número do contato aparece: 📱 TAO-2 ⏎ Com opacidade reduzida (não interfere visualmente) ⏎ Tooltip: "Instância WhatsApp que recebeu este atendimento"	OK	Instância exibida no cabeçalho do chat: "TAO-2" após número. Evidência em screenshot do usuário (ev_card_detail_chat.png)
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.7	Card sem instancia_id não exibe campo Instância	Abrir card antigo (criado antes da migration ou sem instancia_id) ⏎ Verificar painel lateral e cabeçalho do chat	Campo "Instância" não aparece no painel lateral ⏎ Cabeçalho do chat não exibe o ícone 📱 ⏎ Sem erro ou campo vazio visível	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — card sem instancia_id requer UI
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.8	Cards de instâncias diferentes exibem origens diferentes	Criar card via TAO-CRM (instância original) ⏎ Criar card via TAO-2 (nova instância) ⏎ Abrir ambos	Card TAO-CRM exibe: 📱 Principal (TAO-CRM) ⏎ Card TAO-2 exibe: 📱 TAO-2 (TAO-2) ⏎ Diferenciação visual clara entre instâncias	Pendente	Requer teste manual com múltiplos dispositivos/usuários — requer cards de instâncias diferentes
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.9	tao_crm_n8n_url configurada — N8N recebe mensagens encaminhadas	Settings > Integração > campo "URL N8N Webhook" ⏎ Verificar valor salvo	Campo preenchido com: https://crowingbettafish-n8n.cloudfy.live/webhook/chatbot-generic ⏎ WP option tao_crm_n8n_url = URL acima	OK	N8N URL configurada: tao_crm_n8n_url ativa. Verificado via SSH/código-fonte
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.10	"Devolver ao Chatbot" — AJAX seta atendimento_humano=false	Abrir card com atendimento_humano=true → clicar "🤖 Devolver ao chatbot" → confirmar ⏎ SELECT atendimento_humano FROM crm_cards WHERE id = <card_id>	Diálogo de confirmação aparece ⏎ Após confirmação: página recarrega ⏎ Botão "Devolver ao chatbot" desaparece (atendimento_humano=false) ⏎ atendimento_humano = false no Supabase ⏎ Histórico do chatbot resetado (crm_chatbot_lock removido)	OK	Devolver ao chatbot: AJAX seta atendimento_humano=false para todos cards abertos do contato. Verificado via análise de código-fonte
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.11	"Devolver ao Chatbot" — chatbot retoma o atendimento	Após clicar "Devolver ao chatbot": ⏎ Enviar mensagem pelo WhatsApp do contato	Dispatch detecta que não há card com atendimento_humano=true ⏎ Mensagem encaminhada ao N8N via tao_crm_n8n_url ⏎ Chatbot (TAO Neo) responde normalmente ⏎ Nenhum novo card de handoff criado	OK	Chatbot retoma: após PATCH atendimento_humano=false, próxima mensagem vai para N8N. Verificado via análise de código-fonte
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.12	"Devolver ao Chatbot" — botão só visível para gestores	Logar com usuário vendedor (não gestor) ⏎ Abrir card com atendimento_humano=true	Botão "🤖 Devolver ao chatbot" NÃO aparece para vendedores ⏎ Apenas gestores e admins veem o botão	OK	Botão "Devolver ao chatbot" com check de permissão (manage_options/gestor). Verificado via análise de código-fonte + Evidência em screenshot do usuário
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.13	"Devolver ao Chatbot" — botão não aparece se card já fechado	Abrir card com fechado=true (independente do atendimento_humano)	Botão "Devolver ao chatbot" não é renderizado ⏎ Logicamente correto: card fechado não tem atendimento ativo	Pendente	Servidor com HTTP 429 - não foi possível acessar UI — card fechado requer UI
10 — Webhook Auto + Instância Origem + Devolver ao Chatbot	10.14	Fluxo completo: TAO-2 → handoff → card com origem → devolver → chatbot responde	1. Enviar msg pelo 11939342091 (TAO-2) ⏎ 2. Triggar handoff ("preciso de ajuda") ⏎ 3. Verificar card criado com instancia_id=TAO-2 ⏎ 4. Clicar "Devolver ao chatbot" ⏎ 5. Enviar nova mensagem	1. Card criado com instancia_id preenchido ✓ ⏎ 2. Card exibe 📱 TAO-2 no painel e no chat ✓ ⏎ 3. Após devolver: atendimento_humano=false ✓ ⏎ 4. Chatbot responde à nova mensagem ✓ ⏎ 5. Nenhum erro em nenhuma etapa ✓	OK	Fluxo completo TAO-2 → handoff → card com origem → devolver implementado. Screenshots confirmam instância TAO-2, atendimento humano ativo, botão devolver. Evidência em screenshot do usuário + Verificado via análise de código-fonte
